[P2 M:-1 W/V: 384/100000 %_win: 0.00, SFB: 0.00, U: 0]
| [P1 M:0 W/V: 33175/33175 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:4 W/V: 18367/18532 %_win: 0.99, SFB: 1.00, U: 0]
| | [P2 M:4 W/V: 38/4596 %_win: 0.01, SFB: 0.00, U: 0]
| | | [P1 M:0 W/V: 2272/2272 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:4 W/V: 2272/2272 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:5 W/V: 6/25 %_win: 0.24, SFB: 0.00, U: 0]
| | | | [P2 M:0 W/V: 1/4 %_win: 0.25, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 3]
| | | | | [P1 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 2]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 17/17 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:6 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 7/26 %_win: 0.27, SFB: 0.00, U: 0]
| | | | [P2 M:5 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:0 W/V: 2/5 %_win: 0.40, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 2/2 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 2]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 3]
| | | | [P2 M:4 W/V: 17/17 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:0 W/V: 113/6317 %_win: 0.02, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 6/26 %_win: 0.23, SFB: 0.00, U: 0]
| | | | [P2 M:6 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 2]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 3/6 %_win: 0.50, SFB: 0.00, U: 0]
| | | | | [P1 M:6 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 2]
| | | | | [P1 M:4 W/V: 3/3 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 3]
| | | | [P2 M:0 W/V: 16/16 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:0 W/V: 1369/1441 %_win: 0.95, SFB: 1.00, U: 0]
| | | | [P2 M:6 W/V: 12/318 %_win: 0.04, SFB: 0.00, U: 0]
| | | | | [P1 M:5 W/V: 85/91 %_win: 0.93, SFB: 0.93, U: 0]
| | | | | [P1 M:4 W/V: 135/135 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 85/91 %_win: 0.93, SFB: 0.93, U: 0]
| | | | [P2 M:0 W/V: 10/308 %_win: 0.03, SFB: 0.00, U: 0]
| | | | | [P1 M:5 W/V: 88/93 %_win: 0.95, SFB: 0.95, U: 0]
| | | | | [P1 M:4 W/V: 125/125 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:6 W/V: 84/89 %_win: 0.94, SFB: 0.94, U: 0]
| | | | [P2 M:4 W/V: 37/485 %_win: 0.08, SFB: 0.00, U: 0]
| | | | | [P1 M:0 W/V: 4/16 %_win: 0.25, SFB: 0.25, U: 0]
| | | | | [P1 M:6 W/V: 4/16 %_win: 0.25, SFB: 0.25, U: 0]
| | | | | [P1 M:5 W/V: 4/16 %_win: 0.25, SFB: 0.25, U: 0]
| | | | | [P1 M:4 W/V: 436/436 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:5 W/V: 13/329 %_win: 0.04, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 142/142 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 89/95 %_win: 0.94, SFB: 0.94, U: 0]
| | | | | [P1 M:6 W/V: 84/91 %_win: 0.92, SFB: 0.92, U: 0]
| | | [P1 M:4 W/V: 4823/4823 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:6 W/V: 6/26 %_win: 0.23, SFB: 0.00, U: 0]
| | | | [P2 M:5 W/V: 0/3 %_win: 0.00, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 2]
| | | | [P2 M:0 W/V: 17/17 %_win: 1.00, SFB: 1.00, U: 0]
| | | | [P2 M:4 W/V: 2/5 %_win: 0.40, SFB: 0.00, U: 0]
| | | | | [P1 M:4 W/V: 2/2 %_win: 1.00, SFB: 1.00, U: 0]
| | | | | [P1 M:5 W/V: 0/1 %_win: 0.00, SFB: 0.00, U: 2]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: 1.00, U: 3]
| | [P2 M:5 W/V: 7/3809 %_win: 0.00, SFB: 0.00, U: 0]
| | | [P1 M:4 W/V: 1312/1312 %_win: 1.00, SFB: 1.00, U: 0]
