[P2 M:-1 W/V: 10784/100000 %_win: 0.11, SFB: 0.00, U: 0]
| [P1 M:5 W/V: 20112/20112 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:0 W/V: 17280/19951 %_win: 0.87, SFB: 1.00, U: 0]
| | [P2 M:6 W/V: 361/5068 %_win: 0.07, SFB: 0.00, U: 0]
| | | [P1 M:5 W/V: 1736/1736 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:2 W/V: 1445/1614 %_win: 0.90, SFB: 0.90, U: 0]
| | | | [P2 M:3 W/V: 0/502 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 84/560 %_win: 0.15, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 85/551 %_win: 0.15, SFB: -1.00, U: 0]
| | | [P1 M:3 W/V: 1526/1717 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:5 W/V: 191/870 %_win: 0.22, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 0/846 %_win: 0.00, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 1688/4987 %_win: 0.34, SFB: 0.00, U: 0]
| | | [P1 M:2 W/V: 720/1246 %_win: 0.58, SFB: 0.58, U: 0]
| | | | [P2 M:5 W/V: 334/334 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 46/297 %_win: 0.15, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 40/294 %_win: 0.14, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 106/320 %_win: 0.33, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 680/1260 %_win: 0.54, SFB: 0.54, U: 0]
| | | | [P2 M:2 W/V: 70/426 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:3 W/V: 84/407 %_win: 0.21, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 426/426 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1278/1278 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:3 W/V: 621/1202 %_win: 0.52, SFB: 0.52, U: 0]
| | | | [P2 M:5 W/V: 402/402 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 100/398 %_win: 0.25, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 79/401 %_win: 0.20, SFB: -1.00, U: 0]
