[P1 M:-1 W/V: 9554/10000 %_win: 0.96, SFB: -1.00, U: 0]
| [P2 M:3 W/V: 84/1950 %_win: 0.04, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 337/365 %_win: 0.92, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 912/912 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 233/263 %_win: 0.89, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 383/409 %_win: 0.94, SFB: -1.00, U: 0]
| [P2 M:2 W/V: 60/1683 %_win: 0.04, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 515/515 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 206/226 %_win: 0.91, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 167/188 %_win: 0.89, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 515/515 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 219/238 %_win: 0.92, SFB: -1.00, U: 0]
| [P2 M:5 W/V: 75/1851 %_win: 0.04, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 10/28 %_win: 0.36, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 9/27 %_win: 0.33, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 13/32 %_win: 0.41, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 1733/1733 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 11/30 %_win: 0.37, SFB: -1.00, U: 0]
| [P2 M:0 W/V: 87/1976 %_win: 0.04, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 345/374 %_win: 0.92, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 949/949 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 388/415 %_win: 0.93, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 207/237 %_win: 0.87, SFB: -1.00, U: 0]
| [P2 M:6 W/V: 140/2540 %_win: 0.06, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 342/377 %_win: 0.91, SFB: -1.00, U: 0]
| | [P1 M:3 W/V: 277/312 %_win: 0.89, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 220/255 %_win: 0.86, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 1245/1245 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 315/350 %_win: 0.90, SFB: -1.00, U: 0]
