[P1 M:-1 W/V: 131/10000 %_win: 0.01, SFB: -1.00, U: 0]
| [P2 M:4 W/V: 9788/9788 %_win: 1.00, SFB: -1.00, U: 0]
| [P2 M:0 W/V: 20/48 %_win: 0.42, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 0/4 %_win: 0.00, SFB: -1.00, U: 2]
| | [P1 M:5 W/V: 1/5 %_win: 0.20, SFB: -1.00, U: 2]
| | [P1 M:2 W/V: 1/5 %_win: 0.20, SFB: -1.00, U: 1]
| | [P1 M:4 W/V: 22/22 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 3/7 %_win: 0.43, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 3]
| [P2 M:5 W/V: 16/42 %_win: 0.38, SFB: -1.00, U: 0]
| | [P1 M:4 W/V: 14/14 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 2/5 %_win: 0.40, SFB: -1.00, U: 2]
| | [P1 M:5 W/V: 4/7 %_win: 0.57, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 3/6 %_win: 0.50, SFB: -1.00, U: 1]
| | [P1 M:2 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 2]
| | [P1 M:6 W/V: 2/5 %_win: 0.40, SFB: -1.00, U: 2]
| [P2 M:6 W/V: 16/42 %_win: 0.38, SFB: -1.00, U: 0]
| | [P1 M:1 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 3]
| | [P1 M:2 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 2]
| | [P1 M:6 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 4]
| | [P1 M:5 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 3]
| | [P1 M:4 W/V: 20/20 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 3/6 %_win: 0.50, SFB: -1.00, U: 1]
| [P2 M:1 W/V: 16/42 %_win: 0.38, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 4]
| | [P1 M:4 W/V: 20/20 %_win: 1.00, SFB: -1.00, U: 0]
| | [P1 M:2 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 2]
| | [P1 M:5 W/V: 3/6 %_win: 0.50, SFB: -1.00, U: 1]
| | [P1 M:0 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 3]
| | [P1 M:1 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 3]
| [P2 M:2 W/V: 13/38 %_win: 0.34, SFB: -1.00, U: 0]
| | [P1 M:6 W/V: 4/7 %_win: 0.57, SFB: -1.00, U: 0]
| | [P1 M:0 W/V: 4/7 %_win: 0.57, SFB: -1.00, U: 0]
| | [P1 M:5 W/V: 2/5 %_win: 0.40, SFB: -1.00, U: 1]
| | [P1 M:1 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 3]
| | [P1 M:4 W/V: 15/15 %_win: 1.00, SFB: -1.00, U: 0]
