[P2 M:-1 W/V: 472/100000 %_win: 0.00, SFB: -1.00, U: 0]
| [P1 M:2 W/V: 95551/95551 %_win: 1.00, SFB: -1.00, U: 0]
| [P1 M:1 W/V: 162/232 %_win: 0.70, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 59/137 %_win: 0.43, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 16/31 %_win: 0.52, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 11/16 %_win: 0.69, SFB: -1.00, U: 0]
| | | | | [P1 M:2 W/V: 2.5/7 %_win: 0.36, SFB: -1.00, U: 0]
| | | | | [P1 M:6 W/V: 1.5/5 %_win: 0.30, SFB: -1.00, U: 0]
| | | | | [P1 M:0 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 1]
| | | | [P2 M:0 W/V: 2.5/8 %_win: 0.31, SFB: -1.00, U: 0]
| | | | | [P1 M:0 W/V: 3/3 %_win: 1.00, SFB: -1.00, U: 1]
| | | | | [P1 M:2 W/V: 1.5/2 %_win: 0.75, SFB: -1.00, U: 2]
| | | | | [P1 M:6 W/V: 1/2 %_win: 0.50, SFB: -1.00, U: 2]
| | | | [P2 M:6 W/V: 1.5/6 %_win: 0.25, SFB: -1.00, U: 0]
| | | | | [P1 M:0 W/V: 1.5/2 %_win: 0.75, SFB: -1.00, U: 2]
| | | | | [P1 M:6 W/V: 2/2 %_win: 1.00, SFB: -1.00, U: 0]
| | | | | [P1 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | [P1 M:0 W/V: 5.5/17 %_win: 0.32, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 5.5/6 %_win: 0.92, SFB: -1.00, U: 0]
| | | | | [P1 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | | [P1 M:4 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | | [P1 M:6 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 3]
| | | | | [P1 M:0 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 2/4 %_win: 0.50, SFB: -1.00, U: 1]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 3]
| | | | | [P1 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | | [P1 M:6 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 2.5/4 %_win: 0.62, SFB: -1.00, U: 1]
| | | | | [P1 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | | [P1 M:6 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:4 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 2]
| | | | | [P1 M:6 W/V: 0.5/1 %_win: 0.50, SFB: -1.00, U: 3]
| | | [P1 M:2 W/V: 42.5/61 %_win: 0.70, SFB: -1.00, U: 0]
| | | | [P2 M:4 W/V: 4.5/15 %_win: 0.30, SFB: -1.00, U: 0]
| | | | | [P1 M:6 W/V: 1/3 %_win: 0.33, SFB: -1.00, U: 1]
| | | | | [P1 M:0 W/V: 7.5/8 %_win: 0.94, SFB: -1.00, U: 0]
| | | | | [P1 M:2 W/V: 1/3 %_win: 0.33, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 2/12 %_win: 0.17, SFB: -1.00, U: 0]
| | | | | [P1 M:4 W/V: 2/3 %_win: 0.67, SFB: -1.00, U: 0]
| | | | | [P1 M:6 W/V: 3.5/4 %_win: 0.88, SFB: -1.00, U: 0]
| | | | | [P1 M:0 W/V: 3.5/4 %_win: 0.88, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 2.5/12 %_win: 0.21, SFB: -1.00, U: 0]
| | | | | [P1 M:4 W/V: 2/3 %_win: 0.67, SFB: -1.00, U: 1]
| | | | | [P1 M:0 W/V: 3.5/4 %_win: 0.88, SFB: -1.00, U: 1]
| | | | | [P1 M:6 W/V: 3/3 %_win: 1.00, SFB: -1.00, U: 0]
| | | | | [P1 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 8.5/21 %_win: 0.40, SFB: -1.00, U: 0]
| | | | | [P1 M:6 W/V: 4/6 %_win: 0.67, SFB: -1.00, U: 0]
| | | | | [P1 M:4 W/V: 3/5 %_win: 0.60, SFB: -1.00, U: 0]
| | | | | [P1 M:0 W/V: 2/4 %_win: 0.50, SFB: -1.00, U: 1]
| | | | | [P1 M:2 W/V: 3/5 %_win: 0.60, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 13/27 %_win: 0.48, SFB: -1.00, U: 0]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 1]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 3]
| | | | | [P1 M:6 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 7/10 %_win: 0.70, SFB: -1.00, U: 0]
| | | | | [P1 M:6 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 3]
| | | | | [P1 M:4 W/V: 1/3 %_win: 0.33, SFB: -1.00, U: 1]
| | | | | [P1 M:2 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 3]
| | | | | [P1 M:0 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 1.5/5 %_win: 0.30, SFB: -1.00, U: 0]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 3]
| | | | | [P1 M:0 W/V: 0.5/1 %_win: 0.50, SFB: -1.00, U: 4]
| | | | | [P1 M:6 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 4]
| | | | [P2 M:2 W/V: 4.5/8 %_win: 0.56, SFB: -1.00, U: 0]
| | | | | [P1 M:0 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | | [P1 M:4 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | | [P1 M:2 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 2]
| | | | | [P1 M:6 W/V: 3/3 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 6/37 %_win: 0.16, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 13/13 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 7.5/9 %_win: 0.83, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 3]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 4]
| | | | [P2 M:0 W/V: 1/2 %_win: 0.50, SFB: -1.00, U: 3]
| | | | | [P1 M:4 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:6 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 3]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:4 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 2]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 3/6 %_win: 0.50, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 3/3 %_win: 1.00, SFB: -1.00, U: 1]
| | | | | [P1 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | | [P1 M:0 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | [P1 M:0 W/V: 6.5/8 %_win: 0.81, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 3]
| | | | | [P1 M:4 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 3]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 1/2 %_win: 0.50, SFB: -1.00, U: 3]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 4]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | [P2 M:6 W/V: 1.5/26 %_win: 0.06, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 5.5/6 %_win: 0.92, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 2]
| | | | | [P1 M:2 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0.5/2 %_win: 0.25, SFB: -1.00, U: 2]
| | | | | [P1 M:0 W/V: 1/1 %_win: 1.00, SFB: -1.00, U: 3]
| | | [P1 M:2 W/V: 7/7 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 4/5 %_win: 0.80, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:2 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:4 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | [P1 M:6 W/V: 7/7 %_win: 1.00, SFB: -1.00, U: 0]
