[P2 M:-1 W/V: 480.5/100000 %_win: 0.00, SFB: -1.00, U: 0]
| [P1 M:0 W/V: 310.5/401 %_win: 0.77, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 8/58 %_win: 0.14, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 3.5/7 %_win: 0.50, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 3.5/4 %_win: 0.88, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:6 W/V: 0/1 %_win: 0.00, SFB: -1.00, U: 3]
| | | [P1 M:6 W/V: 13.5/15 %_win: 0.90, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 1.5/5 %_win: 0.30, SFB: -1.00, U: 4]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 4]
| | | [P1 M:0 W/V: 12/14 %_win: 0.86, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 1/4 %_win: 0.25, SFB: -1.00, U: 4]
| | | | [P2 M:4 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0.5/3 %_win: 0.17, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 4]
| | | [P1 M:2 W/V: 21/21 %_win: 1.00, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 66.5/190 %_win: 0.35, SFB: -1.00, U: 0]
| | | [P1 M:4 W/V: 12.5/25 %_win: 0.50, SFB: -1.00, U: 0]
| | | | [P2 M:1 W/V: 2/5 %_win: 0.40, SFB: -1.00, U: 3]
| | | | [P2 M:2 W/V: 7.5/10 %_win: 0.75, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:0 W/V: 3/6 %_win: 0.50, SFB: -1.00, U: 4]
| | | [P1 M:2 W/V: 45/60 %_win: 0.75, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 4/14 %_win: 0.29, SFB: -1.00, U: 5]
| | | | [P2 M:4 W/V: 3.5/12 %_win: 0.29, SFB: -1.00, U: 4]
| | | | [P2 M:2 W/V: 3/12 %_win: 0.25, SFB: -1.00, U: 4]
| | | | [P2 M:1 W/V: 3/12 %_win: 0.25, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 1/9 %_win: 0.11, SFB: -1.00, U: 5]
| | | [P1 M:6 W/V: 24/37 %_win: 0.65, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 8.5/14 %_win: 0.61, SFB: -1.00, U: 5]
| | | | [P2 M:1 W/V: 0/4 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:2 W/V: 3/8 %_win: 0.38, SFB: -1.00, U: 5]
| | | | [P2 M:4 W/V: 1.5/6 %_win: 0.25, SFB: -1.00, U: 4]
| | | | [P2 M:0 W/V: 0/4 %_win: 0.00, SFB: -1.00, U: 5]
| | | [P1 M:0 W/V: 19/32 %_win: 0.59, SFB: -1.00, U: 0]
| | | | [P2 M:1 W/V: 0.5/4 %_win: 0.12, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 1/5 %_win: 0.20, SFB: -1.00, U: 5]
| | | | [P2 M:2 W/V: 3.5/8 %_win: 0.44, SFB: -1.00, U: 5]
| | | | [P2 M:4 W/V: 1.5/5 %_win: 0.30, SFB: -1.00, U: 4]
| | | | [P2 M:0 W/V: 5.5/9 %_win: 0.61, SFB: -1.00, U: 5]
| | | [P1 M:1 W/V: 22/35 %_win: 0.63, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 2.5/8 %_win: 0.31, SFB: -1.00, U: 4]
| | | | [P2 M:2 W/V: 6.5/12 %_win: 0.54, SFB: -1.00, U: 4]
| | | | [P2 M:4 W/V: 3.5/9 %_win: 0.39, SFB: -1.00, U: 3]
| | | | [P2 M:0 W/V: 0.5/5 %_win: 0.10, SFB: -1.00, U: 4]
| | [P2 M:4 W/V: 7.5/57 %_win: 0.13, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 8.5/11 %_win: 0.77, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:2 W/V: 2.5/4 %_win: 0.62, SFB: -1.00, U: 4]
| | | | [P2 M:1 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 3]
| | | [P1 M:1 W/V: 8.5/11 %_win: 0.77, SFB: -1.00, U: 0]
| | | | [P2 M:0 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:6 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:2 W/V: 2.5/5 %_win: 0.50, SFB: -1.00, U: 3]
| | | [P1 M:2 W/V: 21/21 %_win: 1.00, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 10.5/13 %_win: 0.81, SFB: -1.00, U: 0]
| | | | [P2 M:1 W/V: 0/3 %_win: 0.00, SFB: -1.00, U: 3]
| | | | [P2 M:2 W/V: 1/3 %_win: 0.33, SFB: -1.00, U: 4]
| | | | [P2 M:0 W/V: 0/2 %_win: 0.00, SFB: -1.00, U: 4]
| | | | [P2 M:6 W/V: 1.5/4 %_win: 0.38, SFB: -1.00, U: 4]
| | [P2 M:6 W/V: 4.5/48 %_win: 0.09, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 4/6 %_win: 0.67, SFB: -1.00, U: 0]
