[P2 M:-1 W/V: 528/100000 %_win: 0.01, SFB: 0.00, U: 0]
| [P1 M:1 W/V: 300/389 %_win: 0.77, SFB: 0.77, U: 0]
| | [P2 M:3 W/V: 16/64 %_win: 0.25, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 13/57 %_win: 0.23, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 32/95 %_win: 0.34, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 6/41 %_win: 0.15, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 7/44 %_win: 0.16, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 8/46 %_win: 0.17, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 6/41 %_win: 0.15, SFB: -1.00, U: 0]
| [P1 M:4 W/V: 303/392 %_win: 0.77, SFB: 0.77, U: 0]
| | [P2 M:2 W/V: 28/95 %_win: 0.29, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 18/74 %_win: 0.24, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 8/50 %_win: 0.16, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 7/48 %_win: 0.15, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 11/57 %_win: 0.19, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 16/67 %_win: 0.24, SFB: -1.00, U: 0]
| [P1 M:0 W/V: 356/451 %_win: 0.79, SFB: 0.79, U: 0]
| | [P2 M:0 W/V: 7/50 %_win: 0.14, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 2/36 %_win: 0.06, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 37/118 %_win: 0.31, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 12/62 %_win: 0.19, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 8/53 %_win: 0.15, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 20/76 %_win: 0.26, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 9/55 %_win: 0.16, SFB: -1.00, U: 0]
| [P1 M:6 W/V: 278/364 %_win: 0.76, SFB: 0.76, U: 0]
| | [P2 M:5 W/V: 10/48 %_win: 0.21, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 6/39 %_win: 0.15, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 12/52 %_win: 0.23, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 5/37 %_win: 0.14, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 8/44 %_win: 0.18, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 31/88 %_win: 0.35, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 13/55 %_win: 0.24, SFB: -1.00, U: 0]
| [P1 M:2 W/V: 97705/97705 %_win: 1.00, SFB: 1.00, U: 0]
| [P1 M:3 W/V: 311/401 %_win: 0.78, SFB: 0.78, U: 0]
| | [P2 M:1 W/V: 15/67 %_win: 0.22, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 9/53 %_win: 0.17, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 29/98 %_win: 0.30, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 13/63 %_win: 0.21, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 11/58 %_win: 0.19, SFB: -1.00, U: 0]
| | [P2 M:0 W/V: 13/61 %_win: 0.21, SFB: -1.00, U: 0]
| [P1 M:5 W/V: 219/298 %_win: 0.73, SFB: 0.73, U: 0]
| | [P2 M:0 W/V: 15/50 %_win: 0.30, SFB: -1.00, U: 0]
| | [P2 M:3 W/V: 8/37 %_win: 0.22, SFB: -1.00, U: 0]
| | [P2 M:2 W/V: 18/55 %_win: 0.33, SFB: -1.00, U: 0]
| | [P2 M:6 W/V: 7/33 %_win: 0.21, SFB: -1.00, U: 0]
| | [P2 M:5 W/V: 12/44 %_win: 0.27, SFB: -1.00, U: 0]
| | [P2 M:1 W/V: 14/48 %_win: 0.29, SFB: -1.00, U: 0]
| | [P2 M:4 W/V: 5/30 %_win: 0.17, SFB: -1.00, U: 0]
